id,file_path,model,text_to_paste,sounds_like,stability,similarity_boost,style,speaker_boost,status,notes
letter-A-name,public/audio/marissa/letter-A-name.mp3,eleven_flash_v2,"<phoneme alphabet=""ipa"" ph=""eɪ"">A</phoneme>",ay,0.5,0.75,0.4,true,todo,
letter-B-name,public/audio/marissa/letter-B-name.mp3,eleven_flash_v2,"<phoneme alphabet=""ipa"" ph=""biː"">B</phoneme>",bee,0.5,0.75,0.4,true,todo,
letter-C-name,public/audio/marissa/letter-C-name.mp3,eleven_flash_v2,"<phoneme alphabet=""ipa"" ph=""siː"">C</phoneme>",see,0.5,0.75,0.4,true,todo,
letter-D-name,public/audio/marissa/letter-D-name.mp3,eleven_flash_v2,"<phoneme alphabet=""ipa"" ph=""diː"">D</phoneme>",dee,0.5,0.75,0.4,true,todo,
letter-E-name,public/audio/marissa/letter-E-name.mp3,eleven_flash_v2,"<phoneme alphabet=""ipa"" ph=""iː"">E</phoneme>",ee,0.5,0.75,0.4,true,todo,
letter-F-name,public/audio/marissa/letter-F-name.mp3,eleven_flash_v2,"<phoneme alphabet=""ipa"" ph=""ɛf"">F</phoneme>",ef,0.5,0.75,0.4,true,todo,
letter-G-name,public/audio/marissa/letter-G-name.mp3,eleven_flash_v2,"<phoneme alphabet=""ipa"" ph=""dʒiː"">G</phoneme>",jee,0.5,0.75,0.4,true,todo,
letter-H-name,public/audio/marissa/letter-H-name.mp3,eleven_flash_v2,"<phoneme alphabet=""ipa"" ph=""eɪtʃ"">H</phoneme>",aitch,0.5,0.75,0.4,true,todo,
letter-I-name,public/audio/marissa/letter-I-name.mp3,eleven_flash_v2,"<phoneme alphabet=""ipa"" ph=""aɪ"">I</phoneme>",eye,0.5,0.75,0.4,true,todo,
letter-J-name,public/audio/marissa/letter-J-name.mp3,eleven_flash_v2,"<phoneme alphabet=""ipa"" ph=""dʒeɪ"">J</phoneme>",jay,0.5,0.75,0.4,true,todo,
letter-K-name,public/audio/marissa/letter-K-name.mp3,eleven_flash_v2,"<phoneme alphabet=""ipa"" ph=""keɪ"">K</phoneme>",kay,0.5,0.75,0.4,true,todo,
letter-L-name,public/audio/marissa/letter-L-name.mp3,eleven_flash_v2,"<phoneme alphabet=""ipa"" ph=""ɛl"">L</phoneme>",el,0.5,0.75,0.4,true,todo,
letter-M-name,public/audio/marissa/letter-M-name.mp3,eleven_flash_v2,"<phoneme alphabet=""ipa"" ph=""ɛm"">M</phoneme>",em,0.5,0.75,0.4,true,todo,
letter-N-name,public/audio/marissa/letter-N-name.mp3,eleven_flash_v2,"<phoneme alphabet=""ipa"" ph=""ɛn"">N</phoneme>",en,0.5,0.75,0.4,true,todo,
letter-O-name,public/audio/marissa/letter-O-name.mp3,eleven_flash_v2,"<phoneme alphabet=""ipa"" ph=""oʊ"">O</phoneme>",oh,0.5,0.75,0.4,true,todo,
letter-P-name,public/audio/marissa/letter-P-name.mp3,eleven_flash_v2,"<phoneme alphabet=""ipa"" ph=""piː"">P</phoneme>",pee,0.5,0.75,0.4,true,todo,
letter-Q-name,public/audio/marissa/letter-Q-name.mp3,eleven_flash_v2,"<phoneme alphabet=""ipa"" ph=""kjuː"">Q</phoneme>",kyoo,0.5,0.75,0.4,true,todo,
letter-R-name,public/audio/marissa/letter-R-name.mp3,eleven_flash_v2,"<phoneme alphabet=""ipa"" ph=""ɑɹ"">R</phoneme>",ar,0.5,0.75,0.4,true,todo,
letter-S-name,public/audio/marissa/letter-S-name.mp3,eleven_flash_v2,"<phoneme alphabet=""ipa"" ph=""ɛs"">S</phoneme>",ess,0.5,0.75,0.4,true,todo,
letter-T-name,public/audio/marissa/letter-T-name.mp3,eleven_flash_v2,"<phoneme alphabet=""ipa"" ph=""tiː"">T</phoneme>",tee,0.5,0.75,0.4,true,todo,
letter-U-name,public/audio/marissa/letter-U-name.mp3,eleven_flash_v2,"<phoneme alphabet=""ipa"" ph=""juː"">U</phoneme>",you,0.5,0.75,0.4,true,todo,
letter-V-name,public/audio/marissa/letter-V-name.mp3,eleven_flash_v2,"<phoneme alphabet=""ipa"" ph=""viː"">V</phoneme>",vee,0.5,0.75,0.4,true,todo,
letter-W-name,public/audio/marissa/letter-W-name.mp3,eleven_flash_v2,"<phoneme alphabet=""ipa"" ph=""ˈdʌbəljuː"">W</phoneme>",double-you,0.5,0.75,0.4,true,todo,
letter-X-name,public/audio/marissa/letter-X-name.mp3,eleven_flash_v2,"<phoneme alphabet=""ipa"" ph=""ɛks"">X</phoneme>",ex,0.5,0.75,0.4,true,todo,
letter-Y-name,public/audio/marissa/letter-Y-name.mp3,eleven_flash_v2,"<phoneme alphabet=""ipa"" ph=""waɪ"">Y</phoneme>",why,0.5,0.75,0.4,true,todo,
letter-Z-name,public/audio/marissa/letter-Z-name.mp3,eleven_flash_v2,"<phoneme alphabet=""ipa"" ph=""ziː"">Z</phoneme>",zee,0.5,0.75,0.4,true,todo,
