id,file_path,model,text_to_paste,sounds_like,stability,similarity_boost,style,speaker_boost,status,notes
letter-A-sound,public/audio/marissa/letter-A-sound.mp3,eleven_flash_v2,"<phoneme alphabet=""ipa"" ph=""æ"">A</phoneme>",ah (apple),0.5,0.75,0.4,true,todo,
letter-B-sound,public/audio/marissa/letter-B-sound.mp3,eleven_flash_v2,"<phoneme alphabet=""ipa"" ph=""bə"">B</phoneme>",buh,0.5,0.75,0.4,true,todo,
letter-C-sound,public/audio/marissa/letter-C-sound.mp3,eleven_flash_v2,"<phoneme alphabet=""ipa"" ph=""kə"">C</phoneme>",kuh,0.5,0.75,0.4,true,todo,
letter-D-sound,public/audio/marissa/letter-D-sound.mp3,eleven_flash_v2,"<phoneme alphabet=""ipa"" ph=""də"">D</phoneme>",duh,0.5,0.75,0.4,true,todo,
letter-E-sound,public/audio/marissa/letter-E-sound.mp3,eleven_flash_v2,"<phoneme alphabet=""ipa"" ph=""ɛ"">E</phoneme>",eh (egg),0.5,0.75,0.4,true,todo,
letter-F-sound,public/audio/marissa/letter-F-sound.mp3,eleven_flash_v2,"<phoneme alphabet=""ipa"" ph=""fː"">F</phoneme>",fff,0.5,0.75,0.4,true,todo,
letter-G-sound,public/audio/marissa/letter-G-sound.mp3,eleven_flash_v2,"<phoneme alphabet=""ipa"" ph=""ɡə"">G</phoneme>",guh,0.5,0.75,0.4,true,todo,
letter-H-sound,public/audio/marissa/letter-H-sound.mp3,eleven_flash_v2,"<phoneme alphabet=""ipa"" ph=""hə"">H</phoneme>",huh,0.5,0.75,0.4,true,todo,
letter-I-sound,public/audio/marissa/letter-I-sound.mp3,eleven_flash_v2,"<phoneme alphabet=""ipa"" ph=""ɪ"">I</phoneme>",ih (igloo),0.5,0.75,0.4,true,todo,
letter-J-sound,public/audio/marissa/letter-J-sound.mp3,eleven_flash_v2,"<phoneme alphabet=""ipa"" ph=""dʒə"">J</phoneme>",juh,0.5,0.75,0.4,true,todo,
letter-K-sound,public/audio/marissa/letter-K-sound.mp3,eleven_flash_v2,"<phoneme alphabet=""ipa"" ph=""kə"">K</phoneme>",kuh,0.5,0.75,0.4,true,todo,
letter-L-sound,public/audio/marissa/letter-L-sound.mp3,eleven_flash_v2,"<phoneme alphabet=""ipa"" ph=""lː"">L</phoneme>",lll,0.5,0.75,0.4,true,todo,
letter-M-sound,public/audio/marissa/letter-M-sound.mp3,eleven_flash_v2,"<phoneme alphabet=""ipa"" ph=""mː"">M</phoneme>",mmm,0.5,0.75,0.4,true,todo,
letter-N-sound,public/audio/marissa/letter-N-sound.mp3,eleven_flash_v2,"<phoneme alphabet=""ipa"" ph=""nː"">N</phoneme>",nnn,0.5,0.75,0.4,true,todo,
letter-O-sound,public/audio/marissa/letter-O-sound.mp3,eleven_flash_v2,"<phoneme alphabet=""ipa"" ph=""ɑ"">O</phoneme>",oh (octopus),0.5,0.75,0.4,true,todo,
letter-P-sound,public/audio/marissa/letter-P-sound.mp3,eleven_flash_v2,"<phoneme alphabet=""ipa"" ph=""pə"">P</phoneme>",puh,0.5,0.75,0.4,true,todo,
letter-Q-sound,public/audio/marissa/letter-Q-sound.mp3,eleven_flash_v2,"<phoneme alphabet=""ipa"" ph=""kwə"">Q</phoneme>",kw,0.5,0.75,0.4,true,todo,
letter-R-sound,public/audio/marissa/letter-R-sound.mp3,eleven_flash_v2,"<phoneme alphabet=""ipa"" ph=""ɹː"">R</phoneme>",rrr,0.5,0.75,0.4,true,todo,
letter-S-sound,public/audio/marissa/letter-S-sound.mp3,eleven_flash_v2,"<phoneme alphabet=""ipa"" ph=""sː"">S</phoneme>",sss,0.5,0.75,0.4,true,todo,
letter-T-sound,public/audio/marissa/letter-T-sound.mp3,eleven_flash_v2,"<phoneme alphabet=""ipa"" ph=""tə"">T</phoneme>",tuh,0.5,0.75,0.4,true,todo,
letter-U-sound,public/audio/marissa/letter-U-sound.mp3,eleven_flash_v2,"<phoneme alphabet=""ipa"" ph=""ʌ"">U</phoneme>",uh (umbrella),0.5,0.75,0.4,true,todo,
letter-V-sound,public/audio/marissa/letter-V-sound.mp3,eleven_flash_v2,"<phoneme alphabet=""ipa"" ph=""vː"">V</phoneme>",vvv,0.5,0.75,0.4,true,todo,
letter-W-sound,public/audio/marissa/letter-W-sound.mp3,eleven_flash_v2,"<phoneme alphabet=""ipa"" ph=""wə"">W</phoneme>",wuh,0.5,0.75,0.4,true,todo,
letter-X-sound,public/audio/marissa/letter-X-sound.mp3,eleven_flash_v2,"<phoneme alphabet=""ipa"" ph=""ks"">X</phoneme>",ks (fox),0.5,0.75,0.4,true,todo,
letter-Y-sound,public/audio/marissa/letter-Y-sound.mp3,eleven_flash_v2,"<phoneme alphabet=""ipa"" ph=""jə"">Y</phoneme>",yuh,0.5,0.75,0.4,true,todo,
letter-Z-sound,public/audio/marissa/letter-Z-sound.mp3,eleven_flash_v2,"<phoneme alphabet=""ipa"" ph=""zː"">Z</phoneme>",zzz,0.5,0.75,0.4,true,todo,
